player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Thomas Chabot,24,D,49,6,25,31,-15,36,3.8,5,1,0,1,19,6,0,120,5.0,1288,1577,72,68,0,0,0.0,188,0,18,5.4,120,241,162,0.25,5.59,11.24,7.55,692.0,645.0,51.76,1287.0,1205.0,51.65,978.0,901.0,52.05,67.23,59.84,52.91,23,8,0,8000000,0.0981595092024539
Ben Chiarot,29,D,41,1,6,7,-16,50,0.3,0,1,0,0,6,0,0,81,1.2,893,1307,60,77,0,0,0.0,191,0,120,3.19,80,154,110,0.22,5.52,10.63,7.59,404.0,469.0,46.28,751.0,852.0,46.85,557.0,654.0,46.0,31.45,41.03,43.39,28,3,1,3500000,0.0429447852760736
Alex Chiasson,30,RW,45,9,7,16,-10,33,1.2,4,5,0,1,5,2,0,65,13.8,562,749,7,40,2,3,40.0,193,1,38,8.91,62,94,80,1.01,7.03,10.65,9.07,328.0,220.0,59.85,590.0,404.0,59.36,438.0,292.0,60.0,33.4,16.05,67.54,28,2,1,2150000,0.0263803680981595
Jakob Chychrun,22,D,56,18,23,41,-6,42,7.4,13,5,0,3,14,9,0,176,10.2,1310,1403,89,59,0,0,0.0,188,0,16,9.08,176,355,256,0.42,8.06,16.26,11.73,672.0,603.0,52.71,1276.0,1118.0,53.3,946.0,828.0,53.33,65.23,59.67,52.23,21,6,0,4600000,0.056441717791411
Anthony Cirelli,23,C,50,9,13,22,0,10,1.8,6,1,2,3,10,3,0,75,12.0,887,1065,32,64,227,235,49.1,183,0,72,9.36,75,111,97,0.63,5.07,7.51,6.56,435.0,404.0,51.85,762.0,713.0,51.66,586.0,546.0,51.77,42.66,39.75,51.77,22,3,0,4800000,0.0588957055214723
Casey Cizikas,29,C,56,7,7,14,-2,27,1.0,7,0,0,3,7,0,0,72,9.7,775,830,25,112,340,299,53.2,180,0,92,8.46,72,112,91,0.66,5.58,8.68,7.05,280.0,397.0,41.36,484.0,781.0,38.26,368.0,576.0,38.97,24.27,31.93,43.19,25,5,0,3350000,0.0411042944785276
Kyle Clifford,30,LW,50,4,3,7,-5,30,0.0,4,0,0,0,2,0,1,65,6.2,497,596,17,69,6,6,50.0,188,0,35,4.73,62,101,83,0.61,8.0,13.04,10.71,212.0,216.0,49.53,366.0,408.0,47.29,272.0,313.0,46.5,14.89,18.41,44.71,29,2,1,1000000,0.0122699386503067
Connor Clifton,25,D,44,1,6,7,10,38,2.6,1,0,0,0,5,0,1,48,2.1,802,1093,52,108,0,0,0.0,180,1,133,1.49,46,99,69,0.11,3.55,7.63,5.32,362.0,359.0,50.21,625.0,676.0,48.04,491.0,500.0,49.55,24.8,25.07,49.73,25,3,0,1000000,0.0122699386503067
Cal Clutterbuck,33,RW,50,4,7,11,-5,10,0.4,3,0,1,1,7,0,0,50,8.0,672,806,23,191,0,1,0.0,180,1,72,7.13,50,93,73,0.64,4.47,8.31,6.52,245.0,354.0,40.9,431.0,695.0,38.28,331.0,509.0,39.4,22.77,29.73,43.37,29,5,1,3500000,0.0429447852760736
Braydon Coburn,35,D,19,0,2,2,-3,14,0.2,0,0,0,0,1,0,1,18,0.0,305,963,20,27,0,0,0.0,196,0,8,0.86,18,38,27,0.17,3.54,7.48,5.31,133.0,204.0,39.47,233.0,377.0,38.2,185.0,275.0,40.22,11.05,18.8,37.01,34,2,1,1700000,0.0208588957055214
